year,sex,age,cohort,p10_guv,p25_guv,p50_guv,p75_guv,n,p10_epuf,p25_epuf,p50_epuf,p75_epuf,p10_cens,p25_cens,p50_cens,p75_cens,gap_p10,gap_p25,gap_p50,gap_p75
1999,2,43,1981,8221.413,16877.84,29669.5,47081.82,16499,7559.6153371964,15782.35482677845,29310.08753544569,47612.31414128961,False,False,False,False,-0.0839217845318562,-0.06710898604396191,-0.01218784086471812,0.011204488978476278
2000,2,44,1981,8650.325,17532.27,30740.03,48795.08,16597,7763.9416831063845,16563.075590626955,30149.973536063128,48783.43357551845,False,False,False,False,-0.10810673840561101,-0.056867327064445854,-0.019381668606811644,-0.00023870879172271356
2001,2,45,1981,8886.471,18090.32,31605.37,50419.3,16573,7870.87424471299,16884.294750755285,30975.69864048338,50145.085913897274,False,False,False,False,-0.12136086584353001,-0.06899310341318728,-0.020124060623987992,-0.005453516435735231
2002,2,46,1981,8553.248,18074.81,32035.85,51265.62,16347,7891.8368772853255,17036.34627477467,31817.882013182105,51109.03882432401,False,False,False,False,-0.08048217528146537,-0.059170178317645074,-0.006827129020136411,-0.003058985486710276
2003,2,47,1981,8913.15,18220.61,32154.17,52212.44,16176,7984.492760243001,17197.36902206185,32183.64774128717,51837.78376650071,False,False,False,False,-0.11002645878538904,-0.05779696267839179,0.0009163426545916272,-0.007201480960184799
2004,2,48,1981,8182.154,17889.69,32205.76,52656.95,16032,8154.57231084802,17748.18679419863,32738.20942443396,52764.87965842836,False,False,False,False,-0.003376651458051935,-0.007941210990232862,0.016397561144374795,0.002047577745266949
2005,2,49,1981,6904.751,16467.29,31181.57,52492.27,15923,8394.86240123129,18072.273224872915,32879.87773815588,53050.86656333662,False,False,False,False,0.19541017444753223,0.09300290867595773,0.053033636602928445,0.010585279106239102
2006,2,50,1981,6978.002,16681.62,31645.38,53422.89,15766,8289.706425698572,18055.66194090511,33272.38332506413,54166.98582271532,False,False,False,False,0.17225192607642423,0.07915180201118847,0.05013555695339926,0.013832299389337584
1982,2,25,1982,4817.578,10137.34,19206.47,28120.27,14449,4894.182343283287,10426.736296560046,19576.72937313315,28301.14137637727,False,False,False,False,0.015775910718320976,0.02814766871252206,0.019094382548268892,0.006411466553319541
1983,2,26,1982,4881.939,10753.32,19856.21,29250.84,14372,4896.220296231675,10812.486487511615,20604.927079974965,29785.340135409355,False,False,False,False,0.0029210623295734973,0.005487078444728418,0.03701342128185426,0.01810803948929194
1984,2,27,1982,4857.292,10799.66,20744.23,31111.43,14690,4717.725312477159,11008.025729113371,21033.19201812733,31451.502083181058,False,False,False,False,-0.02915432286028813,0.0191099663455603,0.013833626507174597,0.010871467216878983
1985,2,28,1982,4805.152,10891.8,21166.59,32550.11,14876,4746.298159227687,11201.263655777342,21832.971532447362,33034.2351882247,False,False,False,False,-0.012323696328999855,0.028016385803016144,0.030997287626117545,0.014763705588978389
1986,2,29,1982,4915.23,11305.96,22190.08,34389.89,14916,4645.7753899839345,11335.6919515608,22671.3839031216,34750.39991707983,False,False,False,False,-0.05638025966479074,0.0026263073660933362,0.021458166062841098,0.010428454514940892
1987,2,30,1982,4856.52,11334.28,22755.13,35474.41,15072,4869.14333612741,11722.011735121543,23083.346186085502,36067.7284157586,False,False,False,False,0.002595883237940589,0.03363665730170147,0.014320798714721817,0.0165869243483129
1988,2,31,1982,5184.716,11896.9,22651.67,35852.13,15434,4686.552425210572,11456.017039403621,23259.186110304323,36624.53932294188,False,False,False,False,-0.10101784522341381,-0.03776276438339644,0.02646657562438257,0.021315509538318362
1989,2,32,1982,4852.572,11256.1,22553.81,36148.0,15732,4825.945979394202,11482.423192351724,23297.67024535132,37109.860462238175,False,False,False,False,-0.0055021001838259295,0.01990724416713006,0.032449356554163436,0.02626109291357928
1990,2,33,1982,5305.227,11878.54,22776.11,36611.8,15906,4944.739027283512,11644.062870699881,23447.633451957296,37484.31198102017,False,False,False,False,-0.07036837235844659,-0.019936985483107537,0.02905739129724073,0.023551905454193982
1991,2,34,1982,5413.117,12020.05,23102.66,37011.52,15726,5250.955450590785,12046.309563120036,23938.179260046225,38301.08681607396,False,False,False,False,-0.030415031578715813,0.0021822638752186227,0.035526880523587795,0.03424905664699367
1992,2,35,1982,5672.454,12547.11,23830.33,38067.13,15689,5416.667132906258,12488.427000867207,24675.928049906288,39722.22564131256,False,False,False,False,-0.04614112215709373,-0.004687984651954805,0.03486905644531407,0.04255969076439281
1993,2,36,1982,5936.505,12662.78,23922.18,38450.76,15852,5431.520626646106,12771.41336535706,24808.837456843026,39929.016498587596,False,False,False,False,-0.0889014398893809,0.008542360624106769,0.03639387670649718,0.03772482844677411
1994,2,37,1982,5986.688,12767.19,24205.61,39358.55,16021,5896.0897290215635,13086.443057096641,25310.043714824275,40697.39983690494,False,False,False,False,-0.015248964276296467,0.024698214364791596,0.044616877252753796,0.03345097226204564
1995,2,38,1982,6032.575,13265.47,24407.84,40079.57,16381,5917.051705170518,13102.043061449003,25358.793022159363,41137.59756928074,False,False,False,False,-0.019335649030077177,-0.012396241612882348,0.0382211425078852,0.026055757874901428
1996,2,39,1982,6469.687,13895.34,25325.58,41125.97,16611,6069.642605249997,13380.803016119311,25658.034649465895,41935.71254536362,False,False,False,False,-0.06382800575092665,-0.03773246307703747,0.013041812118440617,0.019497996520923374
1997,2,40,1982,7051.501,14649.49,26586.87,42816.17,16781,6509.077615439888,14103.001500119757,26714.33938003454,43258.24498594426,False,False,False,False,-0.08004274311849005,-0.03801787549148716,0.004782991775494452,0.010272015746203239
1998,2,41,1982,7467.53,15800.37,27926.87,44580.44,17037,6997.865765934822,15072.326265090385,27991.463063739287,45351.55313692375,False,False,False,False,-0.06495907652283837,-0.04717299278059154,0.0023102653076290513,0.01714922595109488
1999,2,42,1982,7972.079,16442.83,28768.98,46063.26,17131,7294.365676242141,15782.35482677845,28912.2130440143,46683.9403279497,False,False,False,False,-0.0888430870137048,-0.04099698308197808,0.004966379190789067,0.01338454620224547
2000,2,43,1982,8294.478,17052.2,29668.61,47712.01,17261,7505.143627002839,16174.878506471636,29632.377423856036,47877.64037915604,False,False,False,False,-0.10000138977566596,-0.0528198984967512,-0.001221989117776578,0.0034654493296776166
