fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
0,0.001,1982,751897.326532828,547170,115,0
0,0.001,1983,762823.9645383549,551777,113,0
0,0.001,1984,792665.3783047297,573431,114,0
0,0.001,1985,819385.4875781937,590534,113,0
0,0.001,1986,839204.4329529952,602349,113,0
0,0.001,1987,862117.9962014144,618138,114,0
0,0.001,1988,890705.4964173458,637954,115,0
0,0.001,1989,910037.1166981251,650362,116,0
0,0.001,1990,919866.2872701357,655067,116,0
0,0.001,1991,923751.442044614,652189,116,0
0,0.001,1992,935471.243650955,656852,118,0
0,0.001,1993,952858.2734443992,667023,118,0
0,0.001,1994,971253.5550214592,681396,119,0
0,0.001,1995,984561.9123012397,691996,118,0
0,0.001,1996,1003685.6162040337,704060,119,0
0,0.001,1997,1018156.9650585029,717318,120,0
0,0.001,1998,1034076.6704432376,730678,119,0
0,0.001,1999,1053140.0013596497,743629,121,0
0,0.001,2000,1077296.4797287064,756319,121,0
0,0.001,2001,1086720.5906168744,757642,122,0
0,0.001,2002,1094431.083847586,754481,121,0
0,0.001,2003,1102387.8258841399,755926,123,0
0,0.001,2004,1113109.368579254,763103,123,0
0,0.001,2005,1124527.6957425042,770460,123,0
0,0.001,2006,1134146.2905278727,776369,123,0
0,0.003,1951,325016.2398395033,281644,107,0
0,0.003,1952,330204.62099885807,290220,109,0
0,0.003,1953,332276.9752024549,295456,109,0
0,0.003,1954,326138.58933818236,289625,109,0
0,0.003,1955,380713.12517637806,317531,112,0
0,0.003,1956,384854.580990877,330175,113,0
0,0.003,1957,394833.0251688415,344934,112,0
0,0.003,1958,396299.4592796233,341843,112,0
0,0.003,1959,415778.9779793213,349276,111,0
0,0.003,1960,420764.66370781,354096,111,0
0,0.003,1961,423330.42762567254,355897,112,0
0,0.003,1962,423291.1376707552,362813,111,0
0,0.003,1963,428084.03070223314,369567,112,0
0,0.003,1964,429461.2019376341,378256,111,0
0,0.003,1965,437480.68276563915,393405,112,0
0,0.003,1966,496425.5459886613,413235,112,0
0,0.003,1967,503612.6815345026,423274,113,0
0,0.003,1968,529833.8540769136,436569,113,0
0,0.003,1969,543708.3659500532,450861,113,0
0,0.003,1970,552012.740670893,454635,114,0
0,0.003,1971,552912.1732803826,455814,114,0
0,0.003,1972,582224.3462262729,470101,114,0
0,0.003,1973,614433.8385002703,487883,114,0
0,0.003,1974,637555.1970989748,495795,114,0
0,0.003,1975,647129.5469694756,491604,114,0
0,0.003,1976,661322.3248666087,503839,114,0
0,0.003,1977,683075.0768963966,519291,113,0
0,0.003,1978,700646.3331118061,536310,113,0
0,0.003,1979,721644.9018720376,549899,114,0
0,0.003,1980,738941.7342467288,553028,114,0
0,0.003,1981,744452.7139141861,553485,114,0
0,0.003,1982,751850.3874621728,547170,115,0
0,0.003,1983,762815.8029889578,551777,113,0
0,0.003,1984,792687.975139448,573431,114,0
0,0.003,1985,819423.2291292142,590534,113,0
0,0.003,1986,839195.0872203413,602349,113,0
0,0.003,1987,862074.0898102116,618138,114,0
0,0.003,1988,890705.5713606529,637954,115,0
0,0.003,1989,910044.3300175323,650362,116,0
0,0.003,1990,919885.3055635692,655067,116,0
0,0.003,1991,923781.8874658538,652189,116,0
0,0.003,1992,935415.567685068,656852,118,0
0,0.003,1993,952910.3761292638,667023,118,0
0,0.003,1994,971258.7380610727,681396,119,0
0,0.003,1995,984578.8308807043,691996,118,0
0,0.003,1996,1003696.152572757,704060,119,0
0,0.003,1997,1018260.902356209,717318,120,0
0,0.003,1998,1034060.0986079014,730678,119,0
0,0.003,1999,1053297.173990821,743629,121,0
0,0.003,2000,1077335.5375583556,756319,121,0
0,0.003,2001,1086740.710456688,757642,122,0
0,0.003,2002,1094456.4274167186,754481,121,0
0,0.003,2003,1102453.2061754616,755926,123,0
0,0.003,2004,1113155.4875399438,763103,123,0
0,0.003,2005,1124672.6300087438,770460,123,0
0,0.003,2006,1134163.8831441887,776369,123,0
0,0.01,1951,324900.00619085965,281644,107,0
0,0.01,1952,330461.4125173679,290220,109,0
0,0.01,1953,340143.4030842381,295456,109,0
0,0.01,1954,343178.9267021749,289625,109,0
0,0.01,1955,381132.71803238004,317531,112,0
0,0.01,1956,384614.30482343957,330175,113,0
0,0.01,1957,395061.20717740786,344934,112,0
0,0.01,1958,396354.6307378454,341843,112,0
0,0.01,1959,415802.61405041884,349276,111,0
0,0.01,1960,420769.32236237085,354096,111,0
0,0.01,1961,423469.8750397162,355897,112,0
0,0.01,1962,423384.4603697829,362813,111,0
0,0.01,1963,428086.59422295075,369567,112,0
0,0.01,1964,429765.8870828503,378256,111,0
0,0.01,1965,437469.2466796557,393405,112,0
0,0.01,1966,496546.218662282,413235,112,0
0,0.01,1967,503630.2259978877,423274,113,0
0,0.01,1968,530031.4041365364,436569,113,0
0,0.01,1969,543754.78247529,450861,113,0
0,0.01,1970,552115.2835168089,454635,114,0
0,0.01,1971,552668.2490818609,455814,114,0
0,0.01,1972,582211.785729639,470101,114,0
0,0.01,1973,614493.0479577283,487883,114,0
0,0.01,1974,637609.9845243482,495795,114,0
0,0.01,1975,647183.5184543285,491604,114,0
0,0.01,1976,661420.1931200046,503839,114,0
0,0.01,1977,683127.8999897323,519291,113,0
0,0.01,1978,700674.22199831,536310,113,0
0,0.01,1979,721710.141579539,549899,114,0
0,0.01,1980,738921.093321776,553028,114,0
0,0.01,1981,744517.6587128039,553485,114,0
0,0.01,1982,751916.1614332948,547170,115,0
0,0.01,1983,762858.1163609951,551777,113,0
0,0.01,1984,792800.0126022188,573431,114,0
0,0.01,1985,819535.8381857371,590534,113,0
0,0.01,1986,839275.938404609,602349,113,0
0,0.01,1987,862210.2125962276,618138,114,0
0,0.01,1988,890775.5696516833,637954,115,0
0,0.01,1989,910194.7771763182,650362,116,0
0,0.01,1990,920015.4718328554,655067,116,0
0,0.01,1991,923938.0051719933,652189,116,0
0,0.01,1992,935506.81915684,656852,118,0
0,0.01,1993,952915.1983988284,667023,118,0
0,0.01,1994,971418.5196262981,681396,119,0
0,0.01,1995,984865.6538962307,691996,118,0
0,0.01,1996,1003928.6181142147,704060,119,0
0,0.01,1997,1018425.3978371908,717318,120,0
0,0.01,1998,1034136.3122153125,730678,119,0
0,0.01,1999,1053423.4756057183,743629,121,0
0,0.01,2000,1077614.1334624784,756319,121,0
0,0.01,2001,1086934.228176012,757642,122,0
0,0.01,2002,1094663.4573556306,754481,121,0
0,0.01,2003,1102606.5731551687,755926,123,0
0,0.01,2004,1113431.4189398834,763103,123,0
0,0.01,2005,1124844.6128215597,770460,123,0
0,0.01,2006,1134337.0930905016,776369,123,0
1,0.0,1951,327534.7290988324,283353,107,0
1,0.0,1952,331632.9875387148,291301,109,0
1,0.0,1953,329837.03459603316,295971,108,0
1,0.0,1954,328254.6469889212,291310,109,0
1,0.0,1955,382549.27058456803,319229,112,0
1,0.0,1956,385931.3916427533,331582,113,0
1,0.0,1957,395855.5790038935,346282,112,0
1,0.0,1958,395810.3570284648,342372,111,0
1,0.0,1959,416640.92414438113,350495,111,0
1,0.0,1960,420813.6349857259,355186,111,0
1,0.0,1961,423582.9602222169,357149,112,0
1,0.0,1962,425336.7729002964,364633,112,0
1,0.0,1963,427743.9602302655,370377,111,0
1,0.0,1964,431804.55232778325,380166,111,0
1,0.0,1965,441979.2232199523,396145,112,0
1,0.0,1966,500648.6258784276,416416,113,0
1,0.0,1967,506518.4119696226,425513,112,0
1,0.0,1968,532912.6868297422,438751,112,0
1,0.0,1969,547667.7904035451,453902,114,0
1,0.0,1970,553555.8048160267,456271,113,0
1,0.0,1971,556345.548139103,458219,114,0
1,0.0,1972,584492.3046346592,472381,114,0
1,0.0,1973,618718.1862313631,490799,114,0
1,0.0,1974,641426.6252768333,498076,113,0
1,0.0,1975,649158.1542098904,493099,113,0
1,0.0,1976,664560.164640448,505764,114,0
1,0.0,1977,685663.6268306568,521193,113,0
1,0.0,1978,702309.7637776752,537604,113,0
1,0.0,1979,722618.731368758,551045,114,0
1,0.0,1980,740137.6949472226,554104,114,0
1,0.0,1981,746274.911769615,555002,114,0
1,0.0,1982,750579.9917129832,547241,113,0
1,0.0,1983,764299.8705405559,553036,113,0
1,0.0,1984,795571.3256004956,575145,115,0
1,0.0,1985,820251.7691785669,591637,114,0
1,0.0,1986,841378.9026295436,603443,114,0
1,0.0,1987,862466.8427612263,618307,114,0
1,0.0,1988,890449.6874431923,637619,114,0
1,0.0,1989,909285.982451343,650254,115,0
1,0.0,1990,919969.3994215142,655142,115,0
1,0.0,1991,924649.9251531004,653117,116,0
1,0.0,1992,937121.6678896756,657701,117,0
1,0.0,1993,954979.9477780204,667817,118,0
1,0.0,1994,972446.2964466672,681922,119,0
1,0.0,1995,987829.9728286292,693721,119,0
1,0.0,1996,1004267.8791769203,705202,120,0
1,0.0,1997,1020433.5613405312,718499,120,0
1,0.0,1998,1035243.6816814576,731676,119,0
1,0.0,1999,1052328.0453162226,743805,120,0
1,0.0,2000,1075449.0624935343,756573,121,0
1,0.0,2001,1087211.8278333182,758111,121,0
1,0.0,2002,1095264.324432748,755965,122,0
1,0.0,2003,1100147.605299621,756093,122,0
1,0.0,2004,1112087.936325106,763912,123,0
1,0.0,2005,1122902.3323105832,771216,123,0
1,0.0,2006,1134770.9518467118,777172,123,0
1,1e-05,1951,327570.69462662615,283353,107,0
1,1e-05,1952,331656.5585220654,291301,109,0
1,1e-05,1953,330345.66754852433,295971,108,0
1,1e-05,1954,328404.3525378633,291310,109,0
1,1e-05,1955,382703.0836775853,319229,112,0
1,1e-05,1956,385924.0144641219,331582,113,0
1,1e-05,1957,395926.5815334453,346282,112,0
1,1e-05,1958,395889.26415670454,342372,111,0
1,1e-05,1959,416668.1774157637,350495,111,0
1,1e-05,1960,420835.9666060187,355186,111,0
1,1e-05,1961,423725.9775454621,357149,112,0
1,1e-05,1962,425449.6435347049,364633,112,0
1,1e-05,1963,427831.3509928288,370377,111,0
1,1e-05,1964,431839.81162043865,380166,111,0
1,1e-05,1965,442093.94756348716,396145,112,0
1,1e-05,1966,500641.5078264366,416416,113,0
1,1e-05,1967,506433.7963817458,425513,112,0
1,1e-05,1968,532916.6514008394,438751,112,0
1,1e-05,1969,547650.1308209574,453902,114,0
1,1e-05,1970,553546.282884263,456271,113,0
1,1e-05,1971,556247.8547031423,458219,114,0
1,1e-05,1972,584472.0896645,472381,114,0
1,1e-05,1973,618729.9219401766,490799,114,0
1,1e-05,1974,641440.8039903016,498076,113,0
1,1e-05,1975,649150.5696512423,493099,113,0
