sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,1978,fit,10.400550,0.105490,-0.047975,0.000000,-0.652038,-0.083256,-0.098162,10.108950,0.259010,-0.047975,0.000000
male,1979,fit,10.395708,0.107371,-0.056487,0.000000,-0.708752,-0.083256,-0.077063,10.079308,0.288129,-0.056487,0.000000
male,1980,fit,10.401236,0.117302,-0.060208,0.000000,-0.694858,-0.083256,-0.071202,10.059420,0.309968,-0.060208,0.000000
male,1981,fit,10.404364,0.126787,-0.070308,0.000000,-0.572543,-0.083256,-0.067873,10.021516,0.351773,-0.070308,0.000000
male,1982,fit,10.397823,0.136753,-0.077651,0.000000,-0.423618,-0.083256,-0.053676,9.980232,0.385236,-0.077651,0.000000
male,1983,fit,10.394708,0.135220,-0.078945,0.000000,-0.365760,-0.083256,-0.071543,9.976257,0.387844,-0.078945,0.000000
male,1984,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1985,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1986,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1987,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1988,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1989,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1990,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1991,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1992,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1993,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1994,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1995,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1996,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1997,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
male,1998,extrap_fwd,10.398768,0.124687,-0.068720,0.000000,-0.553106,-0.083256,-0.068271,10.023347,0.344590,-0.068720,0.000000
