sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,h_young,h_old,se_h_young,se_h_old,h_old_filled,n_epuf,n_young,n_old,rmse_gksw,rmse_epuf,J,df,p_value,relevel_shift
male,1974,31,10.078952,0.099840,-0.077823,0.000000,9.719981,0.348875,-0.077823,0.000000,0.037738,0.097198,-0.041362,0.000236,0.002492,0.001250,0.001064,0.000000,-1.334910,-0.083256,0.013544,,1,38,5,2,0.031030,0.042433,4240.513300,64,0.000000,-0.354552
male,1975,31,10.063774,0.113782,-0.076338,0.000000,9.686297,0.358064,-0.076338,0.000000,0.045051,0.128968,-0.044583,0.000208,0.002503,0.001317,0.001101,0.000000,-1.068644,-0.083256,0.012649,,1,37,5,1,0.035407,0.051765,5621.548000,63,0.000000,-0.374071
male,1976,31,10.055929,0.109554,-0.060761,0.000000,9.725095,0.303988,-0.060761,0.000000,0.038317,0.139396,-0.044052,0.000172,0.002476,0.001248,0.001060,0.000000,-1.020888,-0.083256,0.012444,,1,36,5,0,0.030873,0.043724,6343.580400,62,0.000000,-0.359777
male,1977,31,10.040251,0.108477,-0.053431,0.000000,9.729904,0.279457,-0.053431,0.000000,0.032043,0.064243,-0.046521,0.000150,0.002557,0.001299,0.001112,0.000000,-0.696397,-0.083256,0.012139,,1,35,5,0,0.027623,0.035501,3446.913600,61,0.000000,-0.348049
male,1978,31,10.025515,0.105490,-0.047975,0.000000,9.733915,0.259011,-0.047975,0.000000,0.030952,0.092054,-0.059699,0.000194,0.002455,0.001220,0.001055,0.000000,-0.652038,-0.083256,0.012946,,1,34,5,0,0.022561,0.036980,2411.808400,60,0.000000,-0.375035
male,1979,31,10.025285,0.107371,-0.056487,0.000000,9.708885,0.288129,-0.056487,0.000000,0.024402,0.041745,-0.061259,0.000358,0.002502,0.001348,0.001084,0.000000,-0.708752,-0.083256,0.012676,,1,33,5,0,0.021309,0.026987,1988.772000,59,0.000000,-0.370423
male,1980,31,10.032511,0.117302,-0.060208,0.000000,9.690695,0.309966,-0.060208,0.000000,0.025013,0.052484,-0.071695,0.000437,0.002597,0.001371,0.001136,0.000000,-0.694858,-0.083256,0.012348,,1,32,5,0,0.023382,0.026498,2208.066100,58,0.000000,-0.368725
male,1981,31,10.037495,0.126787,-0.070308,0.000000,9.654647,0.351771,-0.070308,0.000000,0.026451,0.056751,-0.078066,0.000465,0.002662,0.001366,0.001125,0.000000,-0.572543,-0.083256,0.012173,,1,31,5,0,0.026142,0.026757,2676.380700,57,0.000000,-0.366869
male,1982,31,10.047785,0.136753,-0.077651,0.000000,9.630194,0.385237,-0.077651,0.000000,0.026604,0.055237,-0.080156,0.000422,0.002532,0.001390,0.001100,0.000000,-0.423618,-0.083256,0.012495,,1,30,5,0,0.025279,0.027908,2670.867400,56,0.000000,-0.350038
male,1983,31,10.048429,0.135220,-0.078945,0.000000,9.629977,0.387844,-0.078945,0.000000,0.031225,0.061795,-0.080189,0.000409,0.002646,0.001366,0.001130,0.000000,-0.365760,-0.083256,0.012346,,1,29,5,0,0.024973,0.036750,2704.510200,55,0.000000,-0.346279
