sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,2066,extrap_fwd,11.122444,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.747023,0.344590,-0.068720,0.000000
male,2067,extrap_fwd,11.133780,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.758358,0.344590,-0.068720,0.000000
male,2068,extrap_fwd,11.145115,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.769694,0.344590,-0.068720,0.000000
male,2069,extrap_fwd,11.156451,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.781029,0.344590,-0.068720,0.000000
male,2070,extrap_fwd,11.167786,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.792365,0.344590,-0.068720,0.000000
male,2071,extrap_fwd,11.179122,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.803700,0.344590,-0.068720,0.000000
male,2072,extrap_fwd,11.190358,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.814937,0.344590,-0.068720,0.000000
male,2073,extrap_fwd,11.201595,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.826174,0.344590,-0.068720,0.000000
male,2074,extrap_fwd,11.212832,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.837410,0.344590,-0.068720,0.000000
male,2075,extrap_fwd,11.224167,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.848746,0.344590,-0.068720,0.000000
male,2076,extrap_fwd,11.235503,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.860081,0.344590,-0.068720,0.000000
male,2077,extrap_fwd,11.246838,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.871417,0.344590,-0.068720,0.000000
male,2078,extrap_fwd,11.258174,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.882752,0.344590,-0.068720,0.000000
male,2079,extrap_fwd,11.269410,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.893989,0.344590,-0.068720,0.000000
male,2080,extrap_fwd,11.280647,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.905226,0.344590,-0.068720,0.000000
male,2081,extrap_fwd,11.291884,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.916462,0.344590,-0.068720,0.000000
male,2082,extrap_fwd,11.303120,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.927699,0.344590,-0.068720,0.000000
male,2083,extrap_fwd,11.314357,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.938936,0.344590,-0.068720,0.000000
male,2084,extrap_fwd,11.325593,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.950172,0.344590,-0.068720,0.000000
male,2085,extrap_fwd,11.336830,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.961409,0.344590,-0.068720,0.000000
male,2086,extrap_fwd,11.348067,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.972645,0.344590,-0.068720,0.000000
male,2087,extrap_fwd,11.359303,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.983882,0.344590,-0.068720,0.000000
